month,quantity,month_ticks
1,14253,січень
2,18918,лютий
3,18072,березень
4,21874,квітень
5,23301,травень
6,27859,червень
7,26762,липень
8,35310,серпень
9,28531,вересень
10,31507,жовтень
11,36835,листопад
12,19173,грудень
