month,quantity,month_ticks
1,68264522,січень
2,68732171,лютий
3,71559151,березень
4,72411047,квітень
5,72498156,травень
6,76682775,червень
7,76594486,липень
8,76040600,серпень
9,80401186,вересень
10,80007566,жовтень
11,85415778,листопад
12,90823990,грудень
