month,active,open,closed,month_ticks
1,1791196,18821,168237,січень
2,1755184,40867,67436,лютий
3,1753233,28552,28844,березень
4,1749519,20625,22999,квітень
5,1749794,16876,16119,травень
6,1753721,21228,17373,червень
7,1756888,14647,11668,липень
8,1761445,17219,12440,серпень
9,1765488,17405,13050,вересень
10,1768296,19428,16193,жовтень
11,1773671,15498,10203,листопад
12,1773344,10847,10939,грудень
