month,active,open,closed,month_ticks
1,1004906,4331,2594,січень
2,1008961,6204,2428,лютий
3,1013328,5951,1929,березень
4,1017884,5955,1691,квітень
5,1021904,5102,1474,травень
6,1026506,6447,1567,червень
7,1030358,5218,1625,липень
8,1034647,6328,1584,серпень
9,1040151,6236,1238,вересень
10,1047136,8163,1554,жовтень
11,1052255,6103,3019,листопад
12,1056443,5005,1076,грудень
